Sl no.,Hotel Name,PartnerRef,POS,Bid CPC,Opportunity CPC,Hotel Impr,Clicks,Cost,Avg. CPC,Top Pos Share,Impr Share,Outbid Ratio,Beat,Meet,Lose,Unavailability,Max Potential,Bookings,Booking Rate,CPA,Gross Rev,ABV,Booking Value Index,Net Rev,Net Rev/Click,Profit,ROAS,Margin,Region,Country,City,Stars,Rating
1,OYO 3507 kanchan international,DGH004,IN,0.18,0.23,26255,1100,196.93,0.18,0.9783,0.9787,0,0.3233,0.0004,0.655,0.0213,21895,21,0.0191,0.2739,718.94,34.24,Low,7.95,0.01,-188.98,0.0404,0.0111,West Bengal,India,Digha,3,77.4
2,Le Pondy,PNY192,IN,0.27,0.34,10902,1017,297.55,0.29,0.7654,0.872,0,0.6218,0,0.2501,0.128,7739,17,0.0167,0.1202,2476.2,145.66,High,30.11,0.03,-267.44,0.1012,0.0122,Pondicherry,India,Puducherry,5,82.86
3,OYO 12070 Sai Page 3 Resort,PTB009,IN,0.14,0.19,13083,995,230.46,0.23,0.8259,0.9509,0,0.5006,0.0018,0.4485,0.0491,7858,27,0.0271,0.3044,757.03,28.04,Low,31.49,0.03,-198.97,0.1366,0.0416,Andaman and Nicobar Islands,India,Port Blair,3,84.28
4,OYO 9589 Hotel Aries,PTB007,IN,0.21,0.26,19971,837,154.04,0.18,0.7196,0.8891,0,0.7471,0,0.142,0.1109,13676,17,0.0203,0.1531,1006.17,59.19,Low,8.65,0.01,-145.39,0.0562,0.0086,Andaman and Nicobar Islands,India,Port Blair,3,82.86
5,OYO 9411 Resort Calangute,GOA157,IN,0.13,0.2,20950,701,168.3,0.24,0.7893,0.9499,0,0.4904,0.0012,0.4583,0.0501,17294,9,0.0128,0.3623,464.49,51.61,Low,0,0,-168.3,0,0,Goa,India,Calangute,3,83.37
6,OYO 8024 near Baga Beach,GOA707,IN,0.21,0.26,12603,701,136.44,0.19,0.9819,0.9819,0,0.9802,0,0.0017,0.0181,9871,13,0.0185,0.1494,913.46,70.27,Below Average,26.23,0.04,-110.21,0.1922,0.0287,Goa,India,Baga,3,82.65
7,OYO 15925 Tommaso Hotels And Resorts,CHN601,IN,0.13,0.22,3633,638,108.97,0.17,0.924,0.9246,0,0.9067,0,0.0179,0.0754,2013,34,0.0533,0.1764,617.64,18.17,Low,7.87,0.01,-101.1,0.0722,0.0127,Tamil Nadu,India,Kanchipuram,3,80.93
8,OYO 9623 Home 5 BHK Villa Weekend at Curtorim,GOA872,IN,0.15,0.24,15768,628,170.77,0.27,0.4025,0.8568,0,0.8519,0,0.0049,0.1432,7857,0,0,,0,,Above Average,0,0,-170.77,0,,Goa,India,Velha Goa,0,81.48
9,OYO 2240 Krishna Regency,GUV003,IN,0.18,0.29,7268,615,172.76,0.28,0.7021,0.9492,0.0003,0.31,0.0015,0.638,0.0505,4583,29,0.0472,0.3457,499.74,17.23,Below Average,9.2,0.01,-163.56,0.0533,0.0184,Kerala,India,Guruvayoor,3,83.32
10,OYO 13585 Delight,ABU048,IN,0.12,0.16,24703,601,91.39,0.15,0.5516,0.9226,0.0001,0.2838,0.0001,0.6387,0.0774,19295,4,0.0067,1.1178,81.76,20.44,Low,2.06,0,-89.33,0.0225,0.0252,Rajasthan,India,Mount Abu,3,87.46
11,OYO 8565 Hotel Golden Palace,KOL554,IN,0.44,0.55,48178,578,374.81,0.65,0.4571,0.9409,0.0003,0.4392,0.0003,0.5017,0.0588,40837,27,0.0467,0.2503,1497.22,55.45,High,13.73,0.02,-361.08,0.0366,0.0092,West Bengal,India,Kolkata,3,89.9
12,OYO 15428 Hotel Grand Hills,DLS053,IN,0.13,0.16,8621,549,147.09,0.27,0.9667,0.9748,0,0.4857,0.0068,0.4823,0.0252,6730,13,0.0237,0.4392,334.91,25.76,Low,7.45,0.01,-139.64,0.0506,0.0222,Himachal Pradesh,India,Dalhousie,3,85.43
13,OYO 14170 Kufri Star Inn,SHM418,IN,0.22,0.29,5225,494,120.54,0.24,0.9227,0.924,0.0002,0.6063,0.0011,0.3167,0.0758,3928,14,0.0283,0.1905,632.61,45.19,Below Average,4.39,0.01,-116.15,0.0364,0.0069,Himachal Pradesh,India,Shimla,3,88.78
14,OYO 7559 Hotel Big Splash,ALB013,IN,0.12,0.18,12287,492,50.08,0.1,0.8237,0.9731,0.0015,0.8329,0,0.1403,0.0268,11615,4,0.0081,0.2874,174.24,43.56,Low,0,0,-50.08,0,0,Maharashtra,India,Alibaug,3,73.05
15,OYO 12403 Rudra Villa,ABU042,IN,0.11,0.26,20447,477,52.65,0.11,0.2804,0.8594,0.001,0.366,0.0001,0.4936,0.1404,13468,5,0.0105,0.3716,141.7,28.34,Low,3.32,0.01,-49.33,0.0631,0.0234,Rajasthan,India,Mount Abu,3,80.72
16,OYO 12817 White house beach resort,ALB016,IN,0.14,0.21,14857,473,63.25,0.13,0.6229,0.9157,0.0004,0.1849,0.0301,0.7012,0.0839,11376,8,0.0169,0.1995,317.02,39.63,Average,6.42,0.01,-56.83,0.1015,0.0203,Maharashtra,India,Alibaug,3,85.63
17,OYO 9825 Hotel Casa De Royale,GOA079,IN,0.11,0.15,20082,452,131.3,0.29,0.9113,0.944,0.0005,0.9421,0,0.0018,0.056,17605,0,0,,0,,Low,0,0,-131.3,0,,Goa,India,Anjuna,2,80.41
18,OYO 13356 Himachal Heights,MNL302,IN,0.2,0.45,9188,436,166.35,0.38,0.8248,0.993,0,0.4245,0,0.5686,0.007,7916,9,0.0206,0.3623,459.21,51.02,Low,0,0,-166.35,0,0,Himachal Pradesh,India,Manali,3,83.11
19,OYO 13679 CRC Paramount Cottage,MNL317,IN,0.21,0.25,10634,419,122.05,0.29,0.974,0.9808,0,0.9808,0,0,0.0192,9673,18,0.043,0.2843,429.35,23.85,Below Average,7.36,0.02,-114.69,0.0603,0.0171,Himachal Pradesh,India,Manali,3,87.31
20,OYO 3066 D2 Holiday Inn,PUR023,IN,0.18,0.23,15495,389,68.18,0.18,0.4837,0.9063,0.0005,0.1375,0.0003,0.7688,0.0933,11585,10,0.0257,0.2397,284.49,28.45,Below Average,9.93,0.03,-58.25,0.1456,0.0349,Odisha,India,Puri,3,80.71
21,OYO 12542 Hotel Ankur Plaza,NAN260,IN,0.22,0.28,8447,388,97.8,0.25,0.9974,0.9974,0,0.9959,0,0.0015,0.0026,7144,12,0.0309,0.188,520.34,43.36,Average,0,0,-97.8,0,0,Uttarakhand,India,Nainital,3,81.23
